Description,ICD Code
"Nodular lymphocyte predominant Hodgkin lymphoma, in remission",C81.0A
"Nodular sclerosis Hodgkin lymphoma, in remission",C81.1A
"Mixed cellularity Hodgkin lymphoma, in remission",C81.2A
"Lymphocyte depleted Hodgkin lymphoma, in remission",C81.3A
"Lymphocyte-rich Hodgkin lymphoma, in remission",C81.4A
"Other Hodgkin lymphoma, in remission",C81.7A
"Hodgkin lymphoma, unspecified, in remission",C81.9A
"Follicular lymphoma grade I, in remission",C82.0A
"Follicular lymphoma grade II, in remission",C82.1A
"Follicular lymphoma grade III, unspecified, in remission",C82.2A
"Follicular lymphoma grade IIIa, in remission",C82.3A
"Follicular lymphoma grade IIIb, in remission",C82.4A
"Diffuse follicle center lymphoma, in remission",C82.5A
"Cutaneous follicle center lymphoma, in remission",C82.6A
"Other types of follicular lymphoma, in remission",C82.8A
"Follicular lymphoma, unspecified, in remission",C82.9A
"Small cell B-cell lymphoma, in remission",C83.0A
"Mantle cell lymphoma, in remission",C83.1A
"Diffuse large B-cell lymphoma, extranodal and solid organ sites",C83.39
Primary central nervous system lymphoma,C83.390
Diffuse large B-cell lymphoma of other extranodal and solid organ sites,C83.398
"Diffuse large B-cell lymphoma, in remission",C83.3A
"Lymphoblastic (diffuse) lymphoma, in remission",C83.5A
"Burkitt lymphoma, in remission",C83.7A
"Other non-follicular lymphoma, in remission",C83.8A
"Non-follicular (diffuse) lymphoma, unspecified, in remission",C83.9A
"Mycosis fungoides, in remission",C84.0A
"Sézary disease, in remission",C84.1A
"Peripheral T-cell lymphoma, not elsewhere classified, in remission",C84.4A
"Anaplastic large cell lymphoma, ALK-positive, in remission",C84.6A
"Anaplastic large cell lymphoma, ALK-negative, in remission",C84.7B
"Mature T/NK-cell lymphomas, unspecified, in remission",C84.9A
"Cutaneous T-cell lymphoma, unspecified, in remission",C84.AA
"Other mature T/NK-cell lymphomas, in remission",C84.ZA
"Unspecified B-cell lymphoma, in remission",C85.1A
"Mediastinal (thymic) large B-cell lymphoma, in remission",C85.2A
"Other specified types of non-Hodgkin lymphoma, in remission",C85.8A
"Non-Hodgkin lymphoma, unspecified, in remission",C85.9A
"Extranodal NK/T-cell lymphoma, nasal type",C86.0
"Extranodal NK/T-cell lymphoma, nasal type not having achieved remission",C86.00
"Extranodal NK/T-cell lymphoma, nasal type, in remission",C86.01
Hepatosplenic T-cell lymphoma,C86.1
Hepatosplenic T-cell lymphoma not having achieved remission,C86.10
"Hepatosplenic T-cell lymphoma, in remission",C86.11
Enteropathy-type (intestinal) T-cell lymphoma,C86.2
Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission,C86.20
"Enteropathy-type (intestinal) T-cell lymphoma, in remission",C86.21
Subcutaneous panniculitis-like T-cell lymphoma,C86.3
Subcutaneous panniculitis-like T-cell lymphoma not having achieved remission,C86.30
"Subcutaneous panniculitis-like T-cell lymphoma, in remission",C86.31
Blastic NK-cell lymphoma,C86.4
Blastic NK-cell lymphoma not having achieved remission,C86.40
"Blastic NK-cell lymphoma, in remission",C86.41
Angioimmunoblastic T-cell lymphoma,C86.5
Angioimmunoblastic T-cell lymphoma not having achieved remission,C86.50
"Angioimmunoblastic T-cell lymphoma, in remission",C86.51
Primary cutaneous CD30-positive T-cell proliferations,C86.6
Primary cutaneous CD30-positive T-cell proliferations not having achieved remission,C86.60
"Primary cutaneous CD30-positive T-cell proliferations, in remission",C86.61
Waldenström macroglobulinemia,C88.0
Waldenström macroglobulinemia not having achieved remission,C88.00
"Waldenström macroglobulinemia, in remission",C88.01
Heavy chain disease,C88.2
Heavy chain disease not having achieved remission,C88.20
"Heavy chain disease, in remission",C88.21
Immunoproliferative small intestinal disease,C88.3
Immunoproliferative small intestinal disease not having achieved remission,C88.30
"Immunoproliferative small intestinal disease, in remission",C88.31
Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],C88.4
Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma] not having achieved remission,C88.40
"Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], in remission",C88.41
Other malignant immunoproliferative diseases,C88.8
Other malignant immunoproliferative diseases not having achieved remission,C88.80
"Other malignant immunoproliferative diseases, in remission",C88.81
"Malignant immunoproliferative disease, unspecified",C88.9
"Malignant immunoproliferative disease, unspecified not having achieved remission",C88.90
