Year,ICD Code,Description,Link,Cleaned Description
2025,C81.0A,"C81.0A Nodular lymphocyte predominant Hodgkin lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C81-/C81.0A,"Nodular lymphocyte predominant Hodgkin lymphoma, in remission"
2025,C81.1A,"C81.1A Nodular sclerosis Hodgkin lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C81-/C81.1A,"Nodular sclerosis Hodgkin lymphoma, in remission"
2025,C81.2A,"C81.2A Mixed cellularity Hodgkin lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C81-/C81.2A,"Mixed cellularity Hodgkin lymphoma, in remission"
2025,C81.3A,"C81.3A Lymphocyte depleted Hodgkin lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C81-/C81.3A,"Lymphocyte depleted Hodgkin lymphoma, in remission"
2025,C81.4A,"C81.4A Lymphocyte-rich Hodgkin lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C81-/C81.4A,"Lymphocyte-rich Hodgkin lymphoma, in remission"
2025,C81.7A,"C81.7A Other Hodgkin lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C81-/C81.7A,"Other Hodgkin lymphoma, in remission"
2025,C81.9A,"C81.9A Hodgkin lymphoma, unspecified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C81-/C81.9A,"Hodgkin lymphoma, unspecified, in remission"
2025,C82.0A,"C82.0A Follicular lymphoma grade I, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.0A,"Follicular lymphoma grade I, in remission"
2025,C82.1A,"C82.1A Follicular lymphoma grade II, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.1A,"Follicular lymphoma grade II, in remission"
2025,C82.2A,"C82.2A Follicular lymphoma grade III, unspecified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.2A,"Follicular lymphoma grade III, unspecified, in remission"
2025,C82.3A,"C82.3A Follicular lymphoma grade IIIa, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.3A,"Follicular lymphoma grade IIIa, in remission"
2025,C82.4A,"C82.4A Follicular lymphoma grade IIIb, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.4A,"Follicular lymphoma grade IIIb, in remission"
2025,C82.5A,"C82.5A Diffuse follicle center lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.5A,"Diffuse follicle center lymphoma, in remission"
2025,C82.6A,"C82.6A Cutaneous follicle center lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.6A,"Cutaneous follicle center lymphoma, in remission"
2025,C82.8A,"C82.8A Other types of follicular lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.8A,"Other types of follicular lymphoma, in remission"
2025,C82.9A,"C82.9A Follicular lymphoma, unspecified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C82-/C82.9A,"Follicular lymphoma, unspecified, in remission"
2025,C83.0A,"C83.0A Small cell B-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.0A,"Small cell B-cell lymphoma, in remission"
2025,C83.1A,"C83.1A Mantle cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.1A,"Mantle cell lymphoma, in remission"
2025,C83.39,"C83.39 Diffuse large B-cell lymphoma, extranodal and solid organ sites",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.39,"Diffuse large B-cell lymphoma, extranodal and solid organ sites"
2025,C83.390,C83.390 Primary central nervous system lymphoma,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.390,Primary central nervous system lymphoma
2025,C83.398,C83.398 Diffuse large B-cell lymphoma of other extranodal and solid organ sites,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.398,Diffuse large B-cell lymphoma of other extranodal and solid organ sites
2025,C83.3A,"C83.3A Diffuse large B-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.3A,"Diffuse large B-cell lymphoma, in remission"
2025,C83.5A,"C83.5A Lymphoblastic (diffuse) lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.5A,"Lymphoblastic (diffuse) lymphoma, in remission"
2025,C83.7A,"C83.7A Burkitt lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.7A,"Burkitt lymphoma, in remission"
2025,C83.8A,"C83.8A Other non-follicular lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.8A,"Other non-follicular lymphoma, in remission"
2025,C83.9A,"C83.9A Non-follicular (diffuse) lymphoma, unspecified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C83-/C83.9A,"Non-follicular (diffuse) lymphoma, unspecified, in remission"
2025,C84.0A,"C84.0A Mycosis fungoides, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C84-/C84.0A,"Mycosis fungoides, in remission"
2025,C84.1A,"C84.1A Sézary disease, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C84-/C84.1A,"Sézary disease, in remission"
2025,C84.4A,"C84.4A Peripheral T-cell lymphoma, not elsewhere classified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C84-/C84.4A,"Peripheral T-cell lymphoma, not elsewhere classified, in remission"
2025,C84.6A,"C84.6A Anaplastic large cell lymphoma, ALK-positive, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C84-/C84.6A,"Anaplastic large cell lymphoma, ALK-positive, in remission"
2025,C84.7B,"C84.7B Anaplastic large cell lymphoma, ALK-negative, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C84-/C84.7B,"Anaplastic large cell lymphoma, ALK-negative, in remission"
2025,C84.9A,"C84.9A Mature T/NK-cell lymphomas, unspecified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C84-/C84.9A,"Mature T/NK-cell lymphomas, unspecified, in remission"
2025,C84.AA,"C84.AA Cutaneous T-cell lymphoma, unspecified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C84-/C84.AA,"Cutaneous T-cell lymphoma, unspecified, in remission"
2025,C84.ZA,"C84.ZA Other mature T/NK-cell lymphomas, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C84-/C84.ZA,"Other mature T/NK-cell lymphomas, in remission"
2025,C85.1A,"C85.1A Unspecified B-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C85-/C85.1A,"Unspecified B-cell lymphoma, in remission"
2025,C85.2A,"C85.2A Mediastinal (thymic) large B-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C85-/C85.2A,"Mediastinal (thymic) large B-cell lymphoma, in remission"
2025,C85.8A,"C85.8A Other specified types of non-Hodgkin lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C85-/C85.8A,"Other specified types of non-Hodgkin lymphoma, in remission"
2025,C85.9A,"C85.9A Non-Hodgkin lymphoma, unspecified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C85-/C85.9A,"Non-Hodgkin lymphoma, unspecified, in remission"
2025,C86.0,"C86.0 Extranodal NK/T-cell lymphoma, nasal type",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.0,"Extranodal NK/T-cell lymphoma, nasal type"
2025,C86.00,"C86.00 Extranodal NK/T-cell lymphoma, nasal type not having achieved remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.00,"Extranodal NK/T-cell lymphoma, nasal type not having achieved remission"
2025,C86.01,"C86.01 Extranodal NK/T-cell lymphoma, nasal type, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.01,"Extranodal NK/T-cell lymphoma, nasal type, in remission"
2025,C86.1,C86.1 Hepatosplenic T-cell lymphoma,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.1,Hepatosplenic T-cell lymphoma
2025,C86.10,C86.10 Hepatosplenic T-cell lymphoma not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.10,Hepatosplenic T-cell lymphoma not having achieved remission
2025,C86.11,"C86.11 Hepatosplenic T-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.11,"Hepatosplenic T-cell lymphoma, in remission"
2025,C86.2,C86.2 Enteropathy-type (intestinal) T-cell lymphoma,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.2,Enteropathy-type (intestinal) T-cell lymphoma
2025,C86.20,C86.20 Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.20,Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission
2025,C86.21,"C86.21 Enteropathy-type (intestinal) T-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.21,"Enteropathy-type (intestinal) T-cell lymphoma, in remission"
2025,C86.3,C86.3 Subcutaneous panniculitis-like T-cell lymphoma,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.3,Subcutaneous panniculitis-like T-cell lymphoma
2025,C86.30,C86.30 Subcutaneous panniculitis-like T-cell lymphoma not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.30,Subcutaneous panniculitis-like T-cell lymphoma not having achieved remission
2025,C86.31,"C86.31 Subcutaneous panniculitis-like T-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.31,"Subcutaneous panniculitis-like T-cell lymphoma, in remission"
2025,C86.4,C86.4 Blastic NK-cell lymphoma,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.4,Blastic NK-cell lymphoma
2025,C86.40,C86.40 Blastic NK-cell lymphoma not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.40,Blastic NK-cell lymphoma not having achieved remission
2025,C86.41,"C86.41 Blastic NK-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.41,"Blastic NK-cell lymphoma, in remission"
2025,C86.5,C86.5 Angioimmunoblastic T-cell lymphoma,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.5,Angioimmunoblastic T-cell lymphoma
2025,C86.50,C86.50 Angioimmunoblastic T-cell lymphoma not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.50,Angioimmunoblastic T-cell lymphoma not having achieved remission
2025,C86.51,"C86.51 Angioimmunoblastic T-cell lymphoma, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.51,"Angioimmunoblastic T-cell lymphoma, in remission"
2025,C86.6,C86.6 Primary cutaneous CD30-positive T-cell proliferations,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.6,Primary cutaneous CD30-positive T-cell proliferations
2025,C86.60,C86.60 Primary cutaneous CD30-positive T-cell proliferations not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.60,Primary cutaneous CD30-positive T-cell proliferations not having achieved remission
2025,C86.61,"C86.61 Primary cutaneous CD30-positive T-cell proliferations, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C86-/C86.61,"Primary cutaneous CD30-positive T-cell proliferations, in remission"
2025,C88.0,C88.0 Waldenström macroglobulinemia,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.0,Waldenström macroglobulinemia
2025,C88.00,C88.00 Waldenström macroglobulinemia not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.00,Waldenström macroglobulinemia not having achieved remission
2025,C88.01,"C88.01 Waldenström macroglobulinemia, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.01,"Waldenström macroglobulinemia, in remission"
2025,C88.2,C88.2 Heavy chain disease,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.2,Heavy chain disease
2025,C88.20,C88.20 Heavy chain disease not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.20,Heavy chain disease not having achieved remission
2025,C88.21,"C88.21 Heavy chain disease, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.21,"Heavy chain disease, in remission"
